,label,prediction
0,lı,li
1,gırnatacı,girnatacı
2,öldü,oldu
3,internet,ınternet
4,olmuş,ölmüş
5,internet,ınternet
6,lı,li
7,ask,aşk
8,asklı,aşklı
9,süs,sus
10,Şivan,Sivan
11,kârı,kâri
12,insani,insanı
13,ünvanını,unvanını
14,Sammy´nin,Şammy´nin
15,dondu,döndü
16,kil,kıl
17,adlı,adli
18,karisi,karısı
19,yürüttüğü,yuruttüğü
20,cıklamasından,çıklamasından
21,tas,taş
22,sunusunda,sunuşunda
23,caninin,canının
24,adilik,adılık
25,takıp,takip
26,nun,nün
27,Tuncer,Tunçer
28,4'ü,4'u
29,suğra,suğrâ
30,lı,li
31,tür,tur
32,kasıntılar,kaşıntılar
33,avı,avi
34,göl,gol
35,bazı,bazi
36,pisti,pişti
37,sıvıyı,siviyi
38,masarak,maşarak
39,nun,nün
40,koç'a,koc'a
41,atmışken,atmişken
42,koçun,koçün
43,soktu,söktü
44,ahır,ahir
45,laftır,laftir
46,Asil,Asıl
47,pistiydi,piştiydi
48,uyarı,uyari
49,Müge,Müğe
50,sacın,saçın
51,bakir,bakır
52,ın,in
53,nı,ni
54,hikayesini,hikâyesini
55,Popescu,Popeşcu
56,mahkumiyetin,mahkûmiyetin
57,yasama,yaşama
58,kitabi,kitabı
59,Carla,Çarla
60,Saka,Şaka
61,Avni,Avnı
62,Avni,Avnı
63,futbolumuz,futbolumüz
64,Candar,Çandar
65,eşinize,esinize
66,surat,sürat
67,aytimur,aytımur
68,aytimur,aytımur
69,Sırrı,Sirrı
70,Başaran,Basaran
71,Cabadan,Çabadan
72,hikaye,hikâye
73,kalkarız,kalkariz
74,tıpatıp,tipatıp
75,nun,nün
76,asli,aslı
77,eşcinsellik,eşçinsellik
78,teşbih,tesbih
79,selek,şelek
80,arız,ariz
81,beşe,bese
82,Tokuş,Tokus
83,eşkina,eskina
84,ıstakoz,istaköz
85,bıkkınlık,bıkkınlik
86,nazır,nazir
87,ise,işe
88,yazık,yazik
89,hükümeti,hükumeti
90,savaşta,savasta
91,ısrar,israr
92,yıldır,yildir
93,bütün,butun
94,aklı,akli
95,başında,basinda
96,çözümünde,çözumunde
